"Iteracion,Lower_Bound,Upper_Bound,Gap"
"1",293922.2000,10722140.0000,35.479517
"2",2442217.3007,8385413.3089,2.433525
"3",7402339.6958,8385413.3089,0.132806
"4",15338535.5279,8385413.3089,-0.453311
