"Iteracion,Lower_Bound,Upper_Bound,Gap"
"1",257964.2000,9523540.0000,35.918068
"2",2050086.5421,7326430.5680,2.573718
"3",6496280.1265,7326430.5680,0.127789
"4",13610189.8616,7326430.5680,-0.461695
