"Iteracion,Lower_Bound,Upper_Bound,Gap"
"1",261957.8000,9656660.0000,35.863418
"2",2441837.6194,7647121.3604,2.131708
"3",7356827.3747,7647121.3604,0.039459
"4",15220810.9833,7647121.3604,-0.497588
