"Iteracion,Lower_Bound,Upper_Bound,Gap"
"1",258995.6000,9557920.0000,35.903793
"2",2044851.8794,7338650.8596,2.588842
"3",6470932.4913,7338650.8596,0.134095
"4",13552661.4704,7338650.8596,-0.458509
