"Iteracion,Lower_Bound,Upper_Bound,Gap"
"1",289860.2000,10586740.0000,35.523607
"2",2852763.3124,8524988.9760,1.988327
"3",8311607.9142,8524988.9760,0.025673
"4",17045759.2770,8524988.9760,-0.499876
