"Iteracion,Lower_Bound,Upper_Bound,Gap"
"1",284828.6000,10419020.0000,35.579964
"2",2310418.4657,8094362.4871,2.503418
"3",7088852.0529,8094362.4871,0.141844
"4",14734345.7924,8094362.4871,-0.450647
