"Iteracion,Lower_Bound,Upper_Bound,Gap"
"1",256315.4000,9468580.0000,35.941128
"2",2139607.3800,7357568.2990,2.438747
"3",6726990.8286,7357568.2990,0.093738
"4",14066804.3463,7357568.2990,-0.476955
