"Iteracion,Lower_Bound,Upper_Bound,Gap"
"1",278780.6000,10217420.0000,35.650398
"2",2420620.1661,8044321.8897,2.323248
"3",7389559.1319,8044321.8897,0.088606
"4",15339861.4772,8044321.8897,-0.475594
