"Iteracion,Lower_Bound,Upper_Bound,Gap"
"1",243924.2000,9055540.0000,36.124402
"2",2188151.7086,7098769.0585,2.244185
"3",6797061.2988,7098769.0585,0.044388
"4",14171316.6429,7098769.0585,-0.499075
