"Iteracion,Lower_Bound,Upper_Bound,Gap"
"1",261062.6000,9626820.0000,35.875523
"2",2114008.6093,7458892.9226,2.528317
"3",6678038.0213,7458892.9226,0.116929
"4",13980485.0805,7458892.9226,-0.466478
