"Iteracion,Lower_Bound,Upper_Bound,Gap"
"1",305388.8000,11104360.0000,35.361386
"2",2729985.3467,8812610.1990,2.228080
"3",8064930.4353,8812610.1990,0.092708
"4",16600842.5771,8812610.1990,-0.469147
