"Iteracion,Lower_Bound,Upper_Bound,Gap"
"1",251631.2000,9312440.0000,36.008288
"2",2060997.3149,7210068.0109,2.498339
"3",6552274.8973,7210068.0109,0.100392
"4",13738319.0291,7210068.0109,-0.475186
