"Iteracion,Lower_Bound,Upper_Bound,Gap"
"1",304551.2000,11076440.0000,35.369714
"2",2683692.6097,8757648.2394,2.263283
"3",7945819.2318,8757648.2394,0.102171
"4",16365221.8273,8757648.2394,-0.464862
