"Iteracion,Lower_Bound,Upper_Bound,Gap"
"1",228241.4000,8532780.0000,36.384892
"2",2118517.6784,6704033.9449,2.164493
"3",6595347.9185,6704033.9449,0.016479
"4",13758276.3026,6704033.9449,-0.512727
