"Iteracion,Lower_Bound,Upper_Bound,Gap"
"1",272320.4000,10002080.0000,35.729088
"2",2453978.6356,7901716.2868,2.219961
"3",7430236.0449,7901716.2868,0.063454
"4",15392247.8998,7901716.2868,-0.486643
