"Iteracion,Lower_Bound,Upper_Bound,Gap"
"1",300620.6000,10945420.0000,35.409414
"2",2642905.0262,8648314.3357,2.272276
"3",7857479.4405,8648314.3357,0.100647
"4",16200798.5033,8648314.3357,-0.466180
