"Iteracion,Lower_Bound,Upper_Bound,Gap"
"1",230532.2000,8609140.0000,36.344631
"2",1998074.0699,6683089.2939,2.344766
"3",6361344.9355,6683089.2939,0.050578
"4",13342578.3204,6683089.2939,-0.499116
